track_name,album_name
this is me trying,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
illicit affairs,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
invisible string,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
mad woman,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
epiphany,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
betty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
peace,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
hoax,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
the lakes - bonus track,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
cardigan - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
my tears ricochet - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
mirrorball - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
illicit affairs - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
epiphany - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
peace - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
hoax - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
the 1,folklore (deluxe version)
cardigan,folklore (deluxe version)
